AnimalID,Virus,Session,Stim,Resp
5499,eYFP,Mec1,Catch,0.0425531914893617
5500,ChR2,Saline,Tone,0.477777777777778
5500,ChR2,Scop0.3,Tone,0.759615384615385
5500,ChR2,Scop1,Tone,0.326732673267327
5500,ChR2,Mec1,Tone,0.828282828282828
5500,ChR2,Saline,Laser,0.108910891089109
5500,ChR2,Scop0.3,Laser,0.45360824742268
5500,ChR2,Scop1,Laser,0.127659574468085
5500,ChR2,Mec1,Laser,0.422222222222222
5500,ChR2,Saline,Catch,0
5500,ChR2,Scop0.3,Catch,0.173913043478261
5500,ChR2,Scop1,Catch,0.0681818181818182
5500,ChR2,Mec1,Catch,0.0392156862745098
5548,ChR2,Saline,Tone,0.96039603960396
5548,ChR2,Scop0.3,Tone,0.684782608695652
5548,ChR2,Scop1,Tone,0.666666666666667
5548,ChR2,Mec1,Tone,0.892156862745098
5548,ChR2,Saline,Laser,0.978260869565217
5548,ChR2,Scop0.3,Laser,0.971428571428571
5548,ChR2,Scop1,Laser,0.484210526315789
5548,ChR2,Mec1,Laser,0.951807228915663
5548,ChR2,Saline,Catch,0.372549019607843
5548,ChR2,Scop0.3,Catch,0.145833333333333
5548,ChR2,Scop1,Catch,0.28
5548,ChR2,Mec1,Catch,0.254901960784314
5549,ChR2,Saline,Tone,0.881188118811881
5549,ChR2,Scop0.3,Tone,0.783132530120482
5549,ChR2,Scop1,Tone,0.7
5549,ChR2,Mec1,Tone,0.818181818181818
5549,ChR2,Saline,Laser,0.979381443298969
5549,ChR2,Scop0.3,Laser,0.847457627118644
5549,ChR2,Scop1,Laser,0.6
5549,ChR2,Mec1,Laser,0.927835051546392
5549,ChR2,Saline,Catch,0.512820512820513
5549,ChR2,Scop0.3,Catch,0.558139534883721
5549,ChR2,Scop1,Catch,0.673076923076923
5549,ChR2,Mec1,Catch,0.525
5550,eYFP,Saline,Tone,0.990196078431373
5550,eYFP,Scop0.3,Tone,0.957894736842105
5550,eYFP,Scop1,Tone,0.688679245283019
5550,eYFP,Mec1,Tone,0.979381443298969
5550,eYFP,Saline,Laser,0.670212765957447
5550,eYFP,Scop0.3,Laser,0.75
5550,eYFP,Scop1,Laser,0.549450549450549
5550,eYFP,Mec1,Laser,0.694736842105263
5550,eYFP,Saline,Catch,0.627906976744186
5550,eYFP,Scop0.3,Catch,0.727272727272727
5550,eYFP,Scop1,Catch,0.470588235294118
5550,eYFP,Mec1,Catch,0.638297872340426
5551,eYFP,Saline,Tone,0.938144329896907
5551,eYFP,Scop0.3,Tone,0.932692307692308
5551,eYFP,Scop1,Tone,0.574468085106383
5551,eYFP,Mec1,Tone,0.973451327433628
5551,eYFP,Saline,Laser,0.648351648351648
5551,eYFP,Scop0.3,Laser,0.720930232558139
5551,eYFP,Scop1,Laser,0.485436893203884
5551,eYFP,Mec1,Laser,0.808988764044944
5551,eYFP,Saline,Catch,0.714285714285714
5551,eYFP,Scop0.3,Catch,0.777777777777778
5551,eYFP,Scop1,Catch,0.48
5551,eYFP,Mec1,Catch,0.760869565217391
